/Library/Python/2.7/site-packages/tensorflow/python/ops/gradients_impl.py:93: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-07-20 18:39:28.510923: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510950: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510958: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510964: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
train: (0.67763734, (0.0, 0.8025794)) test: SKIP
train: (0.6819759, (0.8025794, 0.7557044)) test: SKIP
train: (0.68216544, (0.7557044, 0.72282434)) test: SKIP
train: (0.69898891, (0.72282434, 0.65053833)) test: SKIP
train: (0.68611258, (0.65053833, 0.6373682)) test: SKIP
train: (0.68589735, (0.6373682, 0.6349237)) test: SKIP
train: (0.68663263, (0.6349237, 0.63060641)) test: SKIP
train: (0.69902956, (0.63060641, 0.61790293)) test: SKIP
train: (0.69093692, (0.61790293, 0.61088806)) test: SKIP
train: (0.68822509, (0.61088806, 0.61511558)) test: SKIP
train: (0.6869002, (0.61511558, 0.61457348)) test: SKIP
train: (0.67273223, (0.61457348, 0.62332827)) test: SKIP
train: (0.6862945, (0.62332827, 0.61544752)) test: SKIP
train: (0.68605453, (0.61544752, 0.61422968)) test: SKIP
train: (0.69098854, (0.61422968, 0.60753119)) test: SKIP
train: (0.68328595, (0.60753119, 0.60787296)) test: SKIP
train: (0.68512344, (0.60787296, 0.60192305)) test: SKIP
train: (0.67544997, (0.60192305, 0.60516357)) test: SKIP
train: (0.68042219, (0.60516357, 0.60497236)) test: SKIP
